疾病名称	代码	父代码
成人金伯克病	M93.100	M93
剥脱性骨软骨炎	M93.2	M93
剥脱性骨软骨炎	M93.200	M93
踝距骨剥脱性骨软骨炎	M93.200x001	M93
肱骨小头剥脱性骨软骨炎	M93.200x002	M93
分离性骨软骨炎[剥脱性骨软骨炎]	M93.200x003	M93
肩关节分离性骨软骨病	M93.201	M93
膝关节分离性骨软骨病	M93.202	M93
其他特指的骨软骨病	M93.8	M93
骨软骨病，其他特指的	M93.800	M93
桡骨小头骨骺炎	M93.800x001	M93
膝关节骨软骨炎	M93.800x002	M93
耻骨骨软骨炎	M93.800x003	M93
未特指的骨软骨病	M93.9	M93
骨软骨病	M93.900	M93
骨骺炎	M93.901	M93
骨软骨炎	M93.902	M93
骺脱离	M93.903	M93
骨骺滑脱	M93.904	M93
骨突炎	M93.905	M93
	M94	
	软骨的其他疾患	
软骨的其他疾患	M94	
肋骨与肋软骨连接处综合征[蒂策]	M94.0	M94
肋骨与肋软骨连接处综合征[蒂策]	M94.000	M94
肋骨软骨炎	M94.001	M94
复发性多软骨炎	M94.1	M94
复发性多软骨炎	M94.100	M94
软骨软化	M94.2	M94
软骨软化	M94.200	M94
软骨溶解	M94.3	M94
软骨溶解	M94.300	M94
特发性髋关节软骨溶解症	M94.300x051	M94
软骨其他特指的疾患	M94.8	M94
软骨其他特指的疾患	M94.800	M94
化脓性软骨炎	M94.801	M94
老年性软骨骨化	M94.802	M94
慢性萎缩性多软骨炎	M94.803	M94
软骨肥大	M94.804	M94
软骨脓肿	M94.805	M94
软骨实质丧失	M94.806	M94
软骨萎缩	M94.807	M94
软骨炎	M94.808	M94
软骨未特指的疾患	M94.9	M94
软骨疾患	M94.900	M94
	N00	
	急性肾炎综合征	
急性肾炎综合征	N00	
急性肾炎综合征:轻微的肾小球异常	N00.0	N00
急性肾炎综合征伴有轻微的肾小球异常	N00.000	N00
急性肾炎综合征:局灶性和节段性肾小球损害	N00.1	N00
急性肾炎综合征伴有局灶性和节段性肾小球损害	N00.100	N00
局灶坏死性肾小球肾炎	N00.100x001	N00
急性肾炎综合征:弥漫性膜性肾小球肾炎	N00.2	N00
急性肾炎综合征伴有弥漫性膜性肾小球肾炎	N00.200	N00
急性肾炎综合征:弥漫性肾小球膜性增生性肾小球肾炎	N00.3	N00
急性肾炎综合征伴有弥漫性肾小球系膜增生性肾小球肾炎	N00.300	N00
急性系膜增殖性肾小球肾炎	N00.301	N00
急性肾炎综合征:弥漫性毛细血管内增生性肾小球肾炎	N00.4	N00
急性肾炎综合征伴有弥漫性毛细血管内增生性肾小球肾炎	N00.400	N00
急性肾炎综合征:弥漫性肾小球膜毛细血管性肾小球肾炎	N00.5	N00
急性肾炎综合征伴有弥漫性肾小球系膜毛细血管性肾小球肾炎	N00.500	N00
急性肾炎综合征:密集沉积物病	N00.6	N00
急性肾炎综合征伴有密集沉积物病	N00.600	N00
急性肾炎综合征:弥漫性新月形肾小球肾炎	N00.7	N00
急性肾炎综合征伴有弥漫性新月形肾小球肾炎	N00.700	N00
急性肾炎综合征:其他	N00.8	N00
急性肾炎综合征，其他的	N00.800	N00
急性肾炎伴坏死性肾小球肾炎损害	N00.800x001	N00
急性肾小球肾炎，IgA肾病	N00.801	N00
急性增殖性肾小球肾炎	N00.802	N00
急性肾炎综合征:未特指	N00.9	N00
急性肾炎综合征	N00.900	N00
急性肾炎	N00.900x002	N00
急性肾小球病	N00.900x006	N00
急性肾病	N00.900x008	N00
慢性肾小球肾炎伴急进型肾小球性肾炎	N00.900x009	N00
急性链球菌感染后肾小球肾炎	N00.901	N00
急性肾小球肾炎	N00.902	N00
	N01	
	急进型肾炎综合征	
急进型肾炎综合征	N01	
急进型肾炎综合征:轻微的肾小球异常	N01.0	N01
急进型肾炎综合征伴有轻微的肾小球异常	N01.000	N01
急进型肾炎综合征:局灶性和节段性肾小球损害	N01.1	N01
急进型肾炎综合征伴有局灶性和节段性肾小球损害	N01.100	N01
急进型肾炎综合征,局灶性和节段性肾小球损害	N01.100x002	N01
急进型肾炎综合征:弥漫性膜性肾小球肾炎	N01.2	N01
急进型肾炎综合征伴有弥漫性膜性肾小球肾炎	N01.200	N01
急进型肾炎综合征,弥漫性膜性肾小球肾炎	N01.200x001	N01
急进型肾炎综合征:弥漫性肾小球膜性增生性肾小球肾炎	N01.3	N01
急进型肾炎综合征伴有弥漫性肾小球系膜增生性肾小球肾炎	N01.300	N01
急进型肾炎综合征,弥漫性肾小球膜性增生性肾小球肾炎	N01.300x001	N01
急进型肾炎综合征:弥漫性毛细血管内增生性肾小球肾炎	N01.4	N01
急进型肾炎综合征伴有弥漫性毛细血管内增生性肾小球肾炎	N01.400	N01
急进型肾炎,毛细血管内增殖性肾炎	N01.400x001	N01
急进型肾炎综合征:弥漫性肾小球膜毛细血管性肾小球肾炎	N01.5	N01
急进型肾炎综合征伴有弥漫性肾小球系膜毛细血管性肾小球肾炎	N01.500	N01
急进型肾炎综合征,弥漫性肾小球膜毛细血管性肾小球肾炎	N01.500x001	N01
急进型肾炎综合征:密集沉积物病	N01.6	N01
急进型肾炎综合征伴有密集沉积物病	N01.600	N01
急进型肾炎综合征,密集沉积物病	N01.600x001	N01
急进型肾炎综合征:弥漫性新月形肾小球肾炎	N01.7	N01
急进型肾炎综合征伴有弥漫性新月形肾小球肾炎	N01.700	N01
急进性新月体性肾小球肾炎	N01.700x001	N01
急进型肾炎综合征:其他	N01.8	N01
急进型肾炎综合征，其他的	N01.800	N01
急进型肾炎综合征:未特指	N01.9	N01
急进型肾炎综合征	N01.900	N01
急进性肾炎	N01.900x001	N01
急进性肾小球病	N01.900x002	N01
急进性肾小球肾炎	N01.900x003	N01
	N02	
	复发性和持续性血尿	
复发性和持续性血尿	N02	
复发性和持续性血尿:轻微的肾小球异常	N02.0	N02
复发性和持续性血尿伴有轻微的肾小球异常	N02.000	N02
血尿，肾小球轻微病变	N02.001	N02
IgA肾病，肾小球轻微病变	N02.002	N02
复发性和持续性血尿:局灶性和节段性肾小球损害	N02.1	N02
复发性和持续性血尿伴有局灶性和节段性肾小球损害	N02.100	N02
IgA肾病，局灶和节段性肾小球损害	N02.101	N02
血尿，局灶和节段性肾小球损害	N02.102	N02
复发性和持续性血尿:弥漫性膜性肾小球肾炎	N02.2	N02
复发性和持续性血尿伴有弥漫性膜性肾小球肾炎	N02.200	N02
IgA肾病，膜性肾小球损害	N02.201	N02
血尿，弥漫性膜性肾小球损害	N02.203	N02
复发性和持续性血尿:弥漫性肾小球膜性增生性肾小球肾炎	N02.3	N02
复发性和持续性血尿伴有弥漫性肾小球系膜性增生性肾小球肾炎	N02.300	N02
血尿，弥漫性肾小球系膜增殖性肾小球损害	N02.301	N02
系膜增生性IgA肾病	N02.302	N02
复发性和持续性血尿:弥漫性毛细血管内增生性肾小球肾炎	N02.4	N02
复发性和持续性血尿伴有弥漫性毛细血管内增生性肾小球肾炎	N02.400	N02
血尿，弥漫性毛细血管内增殖性肾炎	N02.401	N02
复发性和持续性血尿:弥漫性肾小球膜毛细血管性肾小球肾炎	N02.5	N02
复发性和持续性血尿伴有弥漫性肾小球系膜毛细血管性肾小球肾炎	N02.500	N02
血尿，膜增殖性肾小球损害	N02.502	N02
复发性和持续性血尿:密集沉积物病	N02.6	N02
复发性和持续性血尿伴有密集沉积物病	N02.600	N02
复发性和持续性血尿:弥漫性新月形肾小球肾炎	N02.7	N02
复发性和持续性血尿伴有弥漫性新月形肾小球肾炎	N02.700	N02
新月体性IgA肾病	N02.701	N02
血尿，新月体[形]肾小球肾炎	N02.702	N02
复发性和持续性血尿:其他	N02.8	N02
复发性和持续性血尿，其他的	N02.800	N02
良性家族性儿童期血尿	N02.800x003	N02
IgA肾病	N02.801	N02
薄基底膜肾病	N02.802	N02
复发性和持续性血尿:未特指	N02.9	N02
复发性和持续性血尿	N02.900	N02
复发性血尿	N02.900x001	N02
持续性血尿	N02.900x002	N02
	N03	
	慢性肾炎综合征	
慢性肾炎综合征	N03	
慢性肾炎综合征:轻微的肾小球异常	N03.0	N03
慢性肾炎综合征伴有轻微的肾小球异常	N03.000	N03
慢性肾炎综合征:局灶性和节段性肾小球损害	N03.1	N03
慢性肾炎综合征伴有局灶性和节段性肾小球损害	N03.100	N03
慢性肾炎综合征:弥漫性膜性肾小球肾炎	N03.2	N03
慢性肾炎综合征伴有弥漫性膜性肾小球肾炎	N03.200	N03
慢性膜性肾小球肾炎	N03.200x001	N03
慢性肾炎综合征:弥漫性肾小球膜性增生性肾小球肾炎	N03.3	N03
慢性肾炎综合征伴有弥漫性肾小球系膜增生性肾小球肾炎	N03.300	N03
慢性弥漫性系膜增殖性肾小球肾炎	N03.300x001	N03
慢性肾炎综合征:弥漫性毛细血管内增生性肾小球肾炎	N03.4	N03
慢性肾炎综合征伴有弥漫性毛细血管内增生性肾小球肾炎	N03.400	N03
慢性肾炎综合征:弥漫性肾小球膜毛细血管性肾小球肾炎	N03.5	N03
慢性肾炎综合征伴有弥漫性肾小球系膜毛细血管性肾小球肾炎	N03.500	N03
慢性肾小球膜毛细血管性肾小球肾炎	N03.500x003	N03
膜增殖性肾小球肾炎Ⅰ型	N03.501	N03
膜增殖性肾小球肾炎Ⅲ型	N03.502	N03
膜性增生性肾小球肾炎	N03.503	N03
慢性肾炎综合征:密集沉积物病	N03.6	N03
慢性肾炎综合征伴有密集沉积物病	N03.600	N03
膜增殖性肾小球肾炎Ⅱ型	N03.601	N03
慢性肾炎综合征:弥漫性新月形肾小球肾炎	N03.7	N03
慢性肾炎综合征伴有弥漫性新月形肾小球肾炎	N03.700	N03
慢性肾炎综合征:其他	N03.8	N03
慢性肾炎综合征，其他的	N03.800	N03
慢性弥漫性增殖性肾小球肾炎	N03.800x001	N03
慢性肾小球肾炎伴硬化性肾炎	N03.800x003	N03
慢性肾小球肾炎伴膜性增殖性肾小球肾炎	N03.800x004	N03
慢性增殖性肾小球肾炎	N03.801	N03
慢性肾炎综合征:未特指	N03.9	N03
慢性肾炎综合征	N03.900	N03
慢性肾小球肾炎伴小管间质病变	N03.900x002	N03
慢性肾炎	N03.900x003	N03
隐匿型肾小球肾炎	N03.900x004	N03
肾小球内皮细胞病	N03.900x005	N03
慢性肾病	N03.900x006	N03
慢性肾小球病	N03.900x007	N03
慢性肾小球肾炎	N03.901	N03
	N04	
	肾病综合征	
肾病综合征	N04	
肾病综合征:轻微的肾小球异常	N04.0	N04
肾病综合征伴有轻微的肾小球异常	N04.000	N04
肾病综合征伴微小病变性肾小球肾炎	N04.001	N04
肾病综合征:局灶性和节段性肾小球损害	N04.1	N04
肾病综合征伴有局灶性和节段性肾小球损害	N04.100	N04
肾病综合征伴局灶硬化性肾小球肾炎	N04.101	N04
肾病综合征伴节段硬化性肾小球肾炎	N04.102	N04
肾病综合征:弥漫性膜性肾小球肾炎	N04.2	N04
肾病综合征伴有弥漫性膜性肾小球肾炎	N04.200	N04
肾病综合征伴膜性肾小球肾炎	N04.200x001	N04
肾病综合征:弥漫性肾小球膜性增生性肾小球肾炎	N04.3	N04
肾病综合征伴有弥漫性肾小球系膜性增生性肾小球肾炎	N04.300	N04
肾病综合征伴膜增值性肾小球肾炎	N04.300x001	N04
肾病综合征伴膜性增殖性IgA肾病	N04.300x003	N04
肾病综合征:弥漫性毛细血管内增生性肾小球肾炎	N04.4	N04
肾病综合征伴有弥漫性毛细血管内增生性肾小球肾炎	N04.400	N04
肾病综合征伴毛细血管增殖性肾炎	N04.400x001	N04
肾病综合征:弥漫性肾小球膜毛细血管性肾小球肾炎	N04.5	N04
肾病综合征伴有弥漫性肾小球系膜毛细血管性肾小球肾炎	N04.500	N04
肾病综合征，膜增殖性肾小球肾炎Ⅰ型	N04.501	N04
肾病综合征，膜增殖性肾小球肾炎Ⅲ型	N04.502	N04
肾病综合征:密集沉积物病	N04.6	N04
肾病综合征伴有密集沉积物病	N04.600	N04
肾病综合征，膜增殖性肾小球肾炎Ⅱ型	N04.601	N04
肾病综合征:弥漫性新月形肾小球肾炎	N04.7	N04
肾病综合征伴有弥漫性新月形肾小球肾炎	N04.700	N04
肾病综合征:其他	N04.8	N04
肾病综合征,其他的	N04.800	N04
病毒性肾炎	N04.800x002	N04
肾病综合征，增殖性肾小球肾炎	N04.801	N04
肾病综合征:未特指	N04.9	N04
肾病综合征	N04.900	N04
脂性肾病	N04.901	N04
先天性肾病综合征	N04.902	N04
肾病型肾炎	N04.903	N04
	N05	
	未特指的肾炎综合征	
未特指的肾炎综合征	N05	
未特指的肾炎综合征:轻微的肾小球异常	N05.0	N05
肾炎综合征伴有轻微的肾小球异常	N05.000	N05
肾小球微小病变	N05.000x001	N05
肥胖相关性肾小球肥大症	N05.000x003	N05
微小病变性肾小球肾炎	N05.000x004	N05
未特指的肾炎综合征:局灶性和节段性肾小球损害	N05.1	N05
肾炎综合征伴有局灶性和节段性肾小球损害	N05.100	N05
局灶性肾炎	N05.101	N05
未特指的肾炎综合征:弥漫性膜性肾小球肾炎	N05.2	N05
肾炎综合征伴有弥漫性膜性肾小球肾炎	N05.200	N05
膜性肾病	N05.201	N05
未特指的肾炎综合征:弥漫性肾小球膜性增生性肾小球肾炎	N05.3	N05
肾炎综合征伴有弥漫性肾小球系膜增生性肾小球肾炎	N05.300	N05
系膜增生性肾小球肾炎	N05.301	N05
未特指的肾炎综合征:弥漫性毛细血管内增生性肾小球肾炎	N05.4	N05
肾炎综合征伴有弥漫性毛细血管内增生性肾小球肾炎	N05.400	N05
未特指的肾炎综合征:弥漫性肾小球膜毛细血管性肾小球肾炎	N05.5	N05
肾炎综合征伴有弥漫性肾小球系膜毛细血管性肾小球肾炎	N05.500	N05
膜增殖性肾小球肾炎	N05.501	N05
未特指的肾炎综合征:密集沉积物病	N05.6	N05
肾炎综合征伴有密集沉积物病	N05.600	N05
未特指的肾炎综合征:弥漫性新月形肾小球肾炎	N05.7	N05
肾炎综合征伴有弥漫性新月形肾小球肾炎	N05.700	N05
新月体形肾小球肾炎	N05.701	N05
未特指的肾炎综合征:其他	N05.8	N05
肾炎综合征，其他的	N05.800	N05
IgM肾病	N05.801	N05
增殖性肾小球肾炎	N05.802	N05
肾小球肾病	N05.803	N05
未特指的肾炎综合征:未特指	N05.9	N05
肾炎综合征	N05.900	N05
肾小球肾炎	N05.900x002	N05
肾炎	N05.900x003	N05
小血管炎肾损害	N05.900x006	N05
链球菌感染后肾小球肾炎	N05.900x007	N05
肾小球病	N05.900x009	N05
	N06	
	孤立性蛋白尿伴有特指的形态学损害	
孤立性蛋白尿伴有特指的形态学损害	N06	
孤立性蛋白尿伴有特指的形态学损害:轻微的肾小球异常	N06.0	N06
孤立性蛋白尿伴有特指的形态学损害伴有轻微的肾小球异常	N06.000	N06
蛋白尿，肾小球轻微病变	N06.001	N06
孤立性蛋白尿伴有特指的形态学损害:局灶性和节段性肾小球损害	N06.1	N06
孤立性蛋白尿伴有局灶性和节段性肾小球损害	N06.100	N06
孤立性蛋白尿伴有特指的形态学损害:弥漫性膜性肾小球肾炎	N06.2	N06
孤立性蛋白尿伴有弥漫性膜性肾小球肾炎	N06.200	N06
孤立性蛋白尿伴有特指的形态学损害:弥漫性肾小球膜性增生性肾小球肾炎	N06.3	N06
孤立性蛋白尿伴有弥漫性肾小球系膜性增生性肾小球肾炎	N06.300	N06
孤立性蛋白尿伴有特指的形态学损害:弥漫性毛细血管内增生性肾小球肾炎	N06.4	N06
孤立性蛋白尿伴有弥漫性毛细血管内增生性肾小球肾炎	N06.400	N06
孤立性蛋白尿伴有特指的形态学损害:弥漫性肾小球膜毛细血管性肾小球肾炎	N06.5	N06
孤立性蛋白尿伴有弥漫性肾小球系膜毛细血管性肾小球肾炎	N06.500	N06
孤立性蛋白尿伴有特指的形态学损害:密集沉积物病	N06.6	N06
孤立性蛋白尿伴有密集沉积物病	N06.600	N06
孤立性蛋白尿伴有特指的形态学损害:弥漫性新月形肾小球肾炎	N06.7	N06
孤立性蛋白尿伴有弥漫性新月形肾小球肾炎	N06.700	N06
孤立性蛋白尿伴有特指的形态学损害:其他	N06.8	N06
孤立性蛋白尿，其他的	N06.800	N06
孤立性蛋白尿伴有特指的形态学损害:未特指	N06.9	N06
孤立性蛋白尿伴肾小球损害	N06.900	N06
	N07	
	遗传性肾病，不可归类在他处者	
遗传性肾病，不可归类在他处者	N07	
遗传性肾病，不可归类在他处者:轻微的肾小球异常	N07.0	N07
遗传性肾病伴有轻微的肾小球异常，不可归类在他处者	N07.000	N07
遗传性肾病，不可归类在他处者:局灶性和节段性肾小球损害	N07.1	N07
遗传性肾病伴有局灶性和节段性肾小球损害，不可归类在他处者	N07.100	N07
遗传性肾病，不可归类在他处者:弥漫性膜性肾小球肾炎	N07.2	N07
遗传性肾病伴有弥漫性膜性肾小球肾炎，不可归类在他处者	N07.200	N07
遗传性肾病，不可归类在他处者:弥漫性肾小球膜性增生性肾小球肾炎	N07.3	N07
遗传性肾病伴有弥漫性肾小球系膜增生性肾小球肾炎，不可归类在他处者	N07.300	N07
遗传性肾病，不可归类在他处者:弥漫性毛细血管内增生性肾小球肾炎	N07.4	N07
遗传性肾病伴有弥漫性毛细血管内增生性肾小球肾炎，不可归类在他处者	N07.400	N07
遗传性肾病，不可归类在他处者:弥漫性肾小球膜毛细血管性肾小球肾炎	N07.5	N07
遗传性肾病伴有弥漫性肾小球系膜毛细血管性肾小球肾炎，不可归类在他处者	N07.500	N07
遗传性肾病，不可归类在他处者:密集沉积物病	N07.6	N07
遗传性肾病伴有密集沉积物病，不可归类在他处者	N07.600	N07
遗传性肾病，不可归类在他处者:弥漫性新月形肾小球肾炎	N07.7	N07
遗传性肾病伴有弥漫性新月形肾小球肾炎，不可归类在他处者	N07.700	N07
遗传性肾病，不可归类在他处者:其他	N07.8	N07
遗传性肾病，其他的,不可归类在他处者	N07.800	N07
遗传性肾病，不可归类在他处者:未特指	N07.9	N07
遗传性肾病，不可归类在他处者	N07.900	N07
遗传性肾炎	N07.900x001	N07
	N08*	
	分类于他处的疾病引起的肾小球疾患	
分类于他处的疾病引起的肾小球疾患	N08*	
分类于他处的传染病和寄生虫病引起的肾小球疾患	N08.0*	N08
肿瘤性疾病引起的肾小球疾患	N08.1*	N08
累及免疫机制的血液疾病和疾患引起的肾小球疾患	N08.2*	N08
糖尿病引起的肾小球疾患	N08.3*	N08
其他内分泌、营养和代谢疾病引起的肾小球疾患	N08.4*	N08
系统性结缔组织疾患引起的肾小球疾患	N08.5*	N08
分类于他处的其他疾病引起的肾小球疾患	N08.8*	N08
	N10	
	急性肾小管-间质肾炎	
急性肾小管-间质肾炎	N10	
急性肾小管-间质肾炎	N10.x00	N10
急性间质性肾炎	N10.x01	N10
急性肾盂肾炎	N10.x02	N10
	N11	
	慢性肾小管-间质肾炎	
慢性肾小管-间质肾炎	N11	
与反流有关的非梗阻性慢性肾盂肾炎	N11.0	N11
与反流有关的非梗阻性慢性肾盂肾炎	N11.000	N11
返流性肾盂肾炎	N11.000x001	N11
慢性梗阻性肾盂肾炎	N11.1	N11
慢性梗阻性肾盂肾炎	N11.100	N11
其他的慢性肾小管-间质肾炎	N11.8	N11
慢性肾小管-间质肾炎，其他的	N11.800	N11
免疫相关的慢性间质性肾炎	N11.800x002	N11
代谢异常相关的慢性间质性肾炎	N11.800x003	N11
非梗阻性慢性肾盂肾炎	N11.801	N11
黄色肉芽肿性肾盂肾炎	N11.802	N11
未特指的慢性肾小管-间质肾炎	N11.9	N11
慢性肾小管-间质肾炎	N11.900	N11
慢性肾盂肾炎	N11.900x001	N11
慢性肾盂炎	N11.900x003	N11
慢性间质性肾炎	N11.901	N11
	N12	
	肾小管-间质肾炎，未特指急性或慢性	
肾小管-间质肾炎，未特指急性或慢性	N12	
肾小管-间质肾炎	N12.x00	N12
间质性肾炎	N12.x01	N12
肾盂肾炎	N12.x02	N12
肾小管病变	N12.x03	N12
	N13	
	梗阻性和反流性尿路病	
梗阻性和反流性尿路病	N13	
肾盂积水伴有输尿管肾盂连接处梗阻	N13.0	N13
肾盂积水伴有输尿管肾盂连接处梗阻	N13.000	N13
肾盂积水伴有输尿管狭窄，不可归类在他处者	N13.1	N13
肾盂积水伴有输尿管狭窄，不可归类在他处者	N13.100	N13
肾积水伴输尿管狭窄	N13.100x001	N13
肾盂积水伴有肾和输尿管结石梗阻	N13.2	N13
肾盂积水伴有肾和输尿管结石梗阻	N13.200	N13
肾积水伴肾结石	N13.201	N13
肾积水伴输尿管结石	N13.202	N13
肾积水伴肾输尿管结石	N13.203	N13
肾积水伴结石性肾盂肾炎	N13.204	N13
其他和未特指的肾盂积水	N13.3	N13
肾盂积水，其他的	N13.300	N13
肾盂囊肿	N13.300x005	N13
肾积水	N13.301	N13
肾盏颈部狭窄	N13.302	N13
输尿管积水	N13.4	N13
输尿管积水	N13.400	N13
输尿管扭结和狭窄不伴有肾盂积水	N13.5	N13
输尿管扭结和狭窄不伴有肾盂积水	N13.500	N13
输尿管痉挛	N13.500x010	N13
肾盂输尿管连接处狭窄	N13.501	N13
手术后输尿管膀胱吻合口梗阻	N13.502	N13
输尿管梗阻	N13.503	N13
输尿管狭窄	N13.504	N13
腹膜后纤维化伴输尿管狭窄	N13.506	N13
肾积脓	N13.6	N13
肾积脓	N13.600	N13
肾盂脓肿	N13.600x001	N13
肾盂积脓	N13.600x002	N13
腹膜后纤维化伴感染	N13.600x004	N13
肾结石伴有积水和感染	N13.601	N13
输尿管结石伴有积水和感染	N13.602	N13
肾输尿管结石伴有积水和感染	N13.603	N13
输尿管肾盂连接处狭窄伴有感染	N13.604	N13
输尿管狭窄伴有感染	N13.605	N13
与膀胱-输尿管反流有关的尿路病	N13.7	N13
与膀胱-输尿管反流有关的尿路病	N13.700	N13
膀胱输尿管反流	N13.701	N13
其他梗阻性和反流性尿路病	N13.8	N13
梗阻性和反流性尿路病，其他的	N13.800	N13
梗阻性肾病	N13.801	N13
未特指的梗阻性和反流性尿路病	N13.9	N13
梗阻性和反流性尿路病	N13.900	N13
泌尿道梗阻	N13.901	N13
	N14	
	药物和重金属诱发的肾小管-间质和肾小管情况	
药物和重金属诱发的肾小管-间质和肾小管情况	N14	
镇痛剂肾病	N14.0	N14
镇痛剂肾病	N14.000	N14
其他药物、药剂和生物制品诱发的肾病	N14.1	N14
肾病，其他药物、药剂和生物制品诱发的	N14.100	N14
马兜铃酸肾病	N14.101	N14
造影剂肾病	N14.102	N14
未特指的药物、药剂和生物制品诱发的肾病	N14.2	N14
药物、药剂和生物制品诱发的肾病	N14.200	N14
药物性肾病	N14.201	N14
重金属诱发的肾病	N14.3	N14
重金属诱发的肾病	N14.300	N14
汞中毒性肾病	N14.301	N14
毒性肾病，不可归类在他处者	N14.4	N14
毒性肾病，不可归类在他处者	N14.400	N14
	N15	
	其他肾小管-间质疾病	
其他肾小管-间质疾病	N15	
巴尔干肾病	N15.0	N15
巴尔干肾病	N15.000	N15
肾和肾周脓肿	N15.1	N15
肾和肾周脓肿	N15.100	N15
肾脓肿	N15.101	N15
肾周脓肿	N15.102	N15
其他特指的肾小管-间质疾病	N15.8	N15
肾小管-间质疾病，其他特指的	N15.800	N15
肾肉芽肿	N15.801	N15
未特指的肾小管-间质疾病	N15.9	N15
肾小管-间质疾病	N15.900	N15
肾周围感染	N15.900x002	N15
肾皮质化脓性感染	N15.900x003	N15
感染性肾炎	N15.900x004	N15
肾感染	N15.901	N15
	N16*	
	分类于他处的疾病引起的肾小管-间质疾患	
分类于他处的疾病引起的肾小管-间质疾患	N16*	
分类于他处的传染病和寄生虫病引起的肾小管-间质疾患	N16.0*	N16
肿瘤性疾病引起的肾小管-间质疾患	N16.1*	N16
涉及免疫机制的血液疾病和疾患引起的肾小管-间质疾患	N16.2*	N16
代谢性疾病引起的肾小管-间质疾患	N16.3*	N16
系统性结缔组织疾患引起的肾小管-间质疾患	N16.4*	N16
移植排斥引起的肾小管-间质疾患	N16.5*	N16
分类于他处的其他疾病引起的肾小管-间质疾患	N16.8*	N16
	N17	
	急性肾衰竭	
急性肾衰竭	N17	
急性肾衰竭伴有肾小管坏死	N17.0	N17
急性肾衰竭伴有肾小管坏死	N17.000	N17
急性肾小管坏死	N17.001	N17
缺血性肾病	N17.002	N17
急性肾衰竭伴有急性肾皮质坏死	N17.1	N17
急性肾衰竭伴有急性肾皮质坏死	N17.100	N17
急性肾皮质坏死	N17.101	N17
急性肾衰竭伴有肾髓质坏死	N17.2	N17
急性肾衰竭伴有肾髓质坏死	N17.200	N17
急性髓质乳头状坏死	N17.200x002	N17
肾乳头坏死	N17.200x003	N17
其他的急性肾衰竭	N17.8	N17
急性肾衰竭，其他的	N17.800	N17
未特指的急性肾衰竭	N17.9	N17
急性肾衰竭	N17.900	N17
急性肾功能不全尿毒症期	N17.900x002	N17
急性肾功能不全	N17.900x003	N17
急性肾功能不全氮质血症期	N17.900x004	N17
急性肾损害	N17.901	N17
	N18	
	慢性肾病	
慢性肾病	N18	
慢性肾脏疾病，1期	N18.1	N18
慢性肾脏病1期	N18.100	N18
慢性肾脏疾病，2期	N18.2	N18
慢性肾脏病2期	N18.200	N18
慢性肾脏疾病，3期	N18.3	N18
慢性肾脏病3期	N18.300	N18
慢性肾脏病3期相关性贫血	N18.300x001+D63.8*	N18.300x001+D63
慢性肾脏疾病，4期	N18.4	N18
慢性肾脏病4期	N18.400	N18
慢性肾脏病4期相关性贫血	N18.400x001+D63.8*	N18.400x001+D63
慢性肾脏疾病，5期	N18.5	N18
慢性肾脏病5期	N18.500	N18
慢性肾脏病5期相关性贫血	N18.500x001+D63.8*	N18.500x001+D63
肾终末期疾病	N18.501	N18
尿毒症性痴呆	N18.502+F02.8*	N18.502+F02
尿毒症性神经病变	N18.503+G63.8*	N18.503+G63
肾性视网膜炎	N18.504+H32.8*	N18.504+H32
尿毒症性脑血管病	N18.505+I68.8*	N18.505+I68
尿毒症性心包炎	N18.506+I32.8*	N18.506+I32
尿毒症性偏瘫	N18.507+G99.8*	N18.507+G99
蛋白尿性视网膜炎	N18.508+H32.8*	N18.508+H32
未特指的慢性肾病	N18.9	N18
慢性肾脏病，未特指	N18.900	N18
慢性肾损害	N18.900x011	N18
肾性贫血	N18.900x012+D63.8*	N18.900x012+D63
弥漫性硬化性肾小球肾炎	N18.901	N18
慢性肾衰竭	N18.902	N18
慢性肾功能不全	N18.904	N18
	N19	
	未特指的肾衰竭	
未特指的肾衰竭	N19	
肾衰竭	N19.x00	N19
尿毒症	N19.x01	N19
肾无功能	N19.x02	N19
肾功能不全	N19.x03	N19
	N20	
	肾和输尿管结石	
肾和输尿管结石	N20	
肾结石	N20.0	N20
肾结石	N20.000	N20
肾盂结石	N20.000x001	N20
肾结石合并感染	N20.000x002	N20
肾盏憩室内结石	N20.000x003	N20
鹿角状结石	N20.001	N20
肾石病	N20.002	N20
输尿管结石	N20.1	N20
输尿管结石	N20.100	N20
肾结石伴有输尿管结石	N20.2	N20
肾结石伴有输尿管结石	N20.200	N20
肾输尿管结石	N20.200x001	N20
未特指的泌尿系结石	N20.9	N20
泌尿系结石	N20.900	N20
肾脏感染性结石	N20.900x001	N20
结石性肾盂肾炎	N20.901	N20
	N21	
	下泌尿道结石	
下泌尿道结石	N21	
膀胱结石	N21.0	N21
膀胱结石	N21.000	N21
膀胱憩室结石	N21.001	N21
尿道结石	N21.1	N21
尿道结石	N21.100	N21
其他的下泌尿道结石	N21.8	N21
下泌尿道结石，其他的	N21.800	N21
未特指的下泌尿道结石	N21.9	N21
下泌尿道结石	N21.900	N21
	N22*	
	分类于他处的疾病引起的泌尿道结石	
分类于他处的疾病引起的泌尿道结石	N22*	
血吸虫病[裂体吸虫病]引起的泌尿道结石	N22.0*	N22
分类于他处的其他疾病引起的泌尿道结石	N22.8*	N22
	N23	
